corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-spa	SPA1009_RosDeOlano_ElDiabloLasCarga	SPA1009	Ros de Olano, Antonio	El diablo las carga	1808	1886	M	viaf:60729092	1840	1840	NA	NA	Biblioteca Digital Hispánica	NA	spa	15435	NA	NA	short	low	T1
ELTeC-spa	SPA1021_GomezDeAvellaneda_Sab	SPA1021	Gómez de Avellaneda, Gertrudis	Sab. Novela original	1814	1873	F	viaf:76328537	1841	1841	NA	NA	Biblioteca Virtual Miguel de Cervantes Saavedra	viaf:189375499	spa	54338	NA	NA	medium	high	T1
ELTeC-spa	SPA1013_Campoamor_LosManuscritosDeMiPadre	SPA1013	De Campoamor, Ramón	Los manuscritos de mi padre: edición ELTeC	1817	1901	M	viaf:2542317	1842	1842	NA	NA	Biblioteca Digital Hispánica	NA	spa	57552	NA	NA	medium	low	T1
ELTeC-spa	SPA1022_GomezDeAvellaneda_DosMujeres	SPA1022	Gómez de Avellaneda, Gertrudis	Dos mujeres	1814	1873	F	viaf:76328537	1843	1842-1843	NA	NA	Biblioteca Virtual Miguel de Cervantes Saavedra	viaf:193888534	spa	82889	NA	NA	medium	low	T1
ELTeC-spa	SPA1001_GilYCarrasco_ElSenyorDeBembibre	SPA1001	Gil y Carrasco, Enrique	El Señor de Bembibre	1815	1846	M	viaf:27087132	1844	1844	NA	NA	Biblioteca Virtual Miguel de Cervantes Saavedra	viaf:194763311	spa	111968	NA	NA	long	high	T1
ELTeC-spa	SPA1004_Foz_VidaDePedroSaputo	SPA1004	Foz, Braulio	Vida de Pedro Saputo :  Edición ELTeC	1791	1865	M	viaf:22213455	1844	1844	1999	NA	Biblioteca Virtual Miguel de Cervantes	viaf:192655183	spa	95541	NA	NA	medium	low	T1
ELTeC-spa	SPA1025_NavarroVilloslada_DonaBlanca	SPA1025	Navarro Villoslada, Francisco	Doña Blanca de Navarra	1818	1895	M	viaf:76396892	1846	1846	NA	1916	NA	viaf:182333937	spa	163086	NA	NA	long	high	T1
ELTeC-spa	SPA1012_CarolinaCoronado_Jarilla	SPA1012	Coronado, Carolina	Jarilla : Edición ELTec	1820	1911	F	viaf:5738205	1850	1850	NA	1873	Biblioteca Digital Hispánica - Biblioteca Nacional de España	NA	spa	50399	NA	NA	medium	low	T1
ELTeC-spa	SPA1005_FernanCaballero_Clemencia	SPA1005	Böhl de Faber y Ruiz de Larrea, Cecilia [Fernán Caballero]	Clemencia. Novela de costumbres	1796	1877	F	viaf:9859150	1852	1852	NA	NA	Biblioteca Virtual Miguel de Cervantes Saavedra	viaf:197892001	spa	98583	NA	NA	medium	high	T1
ELTeC-spa	SPA1011_Dominguez_DonJuanIdeCastilla	SPA1011	Domínguez, P. J.	Don Juan I de Castilla o La Venganza de un Rey	NA	NA	M	NA	1852	1852	1999	NA	Biblioteca Virtual Miguel de Cervantes	NA	spa	162427	NA	NA	long	low	T1
